,Count,Marker,Condition
0,0.5334578663345787,CD20,Healthy
1,0.3701008236296507,CD20,Healthy
2,0.44706324967910416,CD20,Diseased
3,0.28620314755734577,CD20,Diseased
4,0.545101701951017,CD3,Healthy
5,0.4712972166998012,CD3,Healthy
6,0.3576550258929757,CD3,Diseased
7,0.2403799882367619,CD3,Diseased
8,0.4676214196762142,CD4,Healthy
9,0.4286601817665436,CD4,Healthy
10,0.41110078342849554,CD4,Diseased
11,0.30194093428627444,CD4,Diseased
12,0.9288086342880864,CD45RO,Healthy
13,0.6037169838114173,CD45RO,Healthy
14,0.9126941973177533,CD45RO,Diseased
15,0.8009695759887359,CD45RO,Diseased
16,0.2129099211290992,CD68,Healthy
17,0.14749005964214712,CD68,Healthy
18,0.6534103483379808,CD68,Diseased
19,0.4510310656424332,CD68,Diseased
20,0.4876712328767123,CD8a,Healthy
21,0.4552683896620278,CD8a,Healthy
22,0.3002478643827734,CD8a,Diseased
23,0.12383481562015435,CD8a,Diseased
24,0.01986301369863014,Col1,Healthy
25,0.021389520022720817,Col1,Healthy
26,0.14037533749391404,Col1,Diseased
27,0.15424100379631775,Col1,Diseased
28,0.9966168534661686,DNA1,Healthy
29,0.9989704629366657,DNA1,Healthy
30,0.9685743371840836,DNA1,Diseased
31,0.9984850375176003,DNA1,Diseased
32,0.9982980489829805,DNA2,Healthy
33,0.9993609769951718,DNA2,Healthy
34,0.9719824724472181,DNA2,Diseased
35,0.9991979610387296,DNA2,Diseased
36,0.7374636778746367,Ecadherin,Healthy
37,0.18810352172678216,Ecadherin,Healthy
38,0.12676492718983756,Ecadherin,Diseased
39,0.22768994956066088,Ecadherin,Diseased
40,0.1636986301369863,FoxP3,Healthy
41,0.05351817665435956,FoxP3,Healthy
42,0.02286106316115611,FoxP3,Diseased
43,0.07872457982069973,FoxP3,Diseased
44,0.04800747198007472,GranzymeB,Healthy
45,0.020608491905708605,GranzymeB,Healthy
46,0.2775859779577745,GranzymeB,Diseased
47,0.16368724045128058,GranzymeB,Diseased
48,0.784329597343296,Histone3,Healthy
49,0.9911069298494746,Histone3,Healthy
50,0.895233036781304,Histone3,Diseased
51,0.6809845473826796,Histone3,Diseased
52,0.2191365711913657,Ki67,Healthy
53,0.1731397330303891,Ki67,Healthy
54,0.13955649980082327,Ki67,Diseased
55,0.0597429910706329,Ki67,Diseased
56,0.05674553756745537,PD1,Healthy
57,0.12636679920477137,PD1,Healthy
58,0.8118886380737397,PD1,Diseased
59,0.0018357780669078724,PD1,Diseased
60,0.022768783727687838,PDL1,Healthy
61,0.05863036069298495,PDL1,Healthy
62,0.14360642676935334,PDL1,Diseased
63,0.0004277541126775625,PDL1,Diseased
64,0.06170610211706102,Pankeratin,Healthy
65,0.07327463788696394,Pankeratin,Healthy
66,0.10547514716947727,Pankeratin,Diseased
67,0.16620029586326127,Pankeratin,Diseased
68,0.07094229970942299,SMA,Healthy
69,0.04751846066458393,SMA,Healthy
70,0.09109016066923384,SMA,Diseased
71,0.02593259308107723,SMA,Diseased
72,0.5531548360315484,Vimentin,Healthy
73,0.16996236864527123,Vimentin,Healthy
74,0.7390784756340459,Vimentin,Diseased
75,0.5234640953891672,Vimentin,Diseased
