ROI,CD20,CD3,CD4,CD45RO,CD68,CD8a,Col1,DNA1,DNA2,Ecadherin,FoxP3,GranzymeB,Histone3,Ki67,PD1,PDL1,Pankeratin,SMA,Vimentin
DT1,0.5528162796857067,0.44246049262823345,0.4570715988346429,0.7486978017127218,0.3673964862717401,0.3529178070097996,0.08400282510814867,0.991789529442924,0.9935552220358436,0.1959035931844266,0.01123421912245078,0.2268473558753421,0.9272313940143021,0.2985565463052883,0.6347885583119979,0.08601130043259468,0.08539330802507283,0.6102233601130044,0.5615123157058356
DT2,0.44706324967910416,0.3576550258929757,0.41110078342849554,0.9126941973177533,0.6534103483379808,0.3002478643827734,0.14037533749391404,0.9685743371840836,0.9719824724472181,0.12676492718983756,0.02286106316115611,0.2775859779577745,0.895233036781304,0.13955649980082327,0.8118886380737397,0.14360642676935334,0.10547514716947727,0.09109016066923384,0.7390784756340459
DT3,0.28620314755734577,0.2403799882367619,0.30194093428627444,0.8009695759887359,0.4510310656424332,0.12383481562015435,0.15424100379631775,0.9984850375176003,0.9991979610387296,0.22768994956066088,0.07872457982069973,0.16368724045128058,0.6809845473826796,0.0597429910706329,0.0018357780669078724,0.0004277541126775625,0.16620029586326127,0.02593259308107723,0.5234640953891672
DT4,0.48364382640694936,0.5476354758240009,0.5214514445446986,0.8155441147851317,0.15595421332908727,0.1885073332979495,0.05879022698724413,0.9955770217433612,0.9962670063513968,0.33949011906657467,0.11427206623852237,0.03490614440139412,0.9010668223555013,0.20048475841692762,0.0373830122251119,0.013109707552677671,0.10783220989685614,0.7039612193266458,0.4245882207243069
DT5,0.604306771469359,0.6491460415197537,0.5371252644433361,0.9378579659792573,0.5178961490170447,0.5993188971637915,0.287077965635266,0.9959237027226914,0.9974372645809325,0.12954713541218763,0.11628626958600644,0.3141844825510397,0.9558487126124422,0.15391892124318468,0.8740131748679933,0.08895615830481071,0.018283139264890523,0.111281195713868,0.37544933867666536
DT6,0.30311596108335526,0.36855771759137523,0.3410958453852222,0.7538292137785958,0.1910991322640021,0.24592427031291086,0.13311859058637918,0.9995398369708125,0.999852090454904,0.06312450696818302,0.020575861162240337,0.013131080725742835,0.6715093347357349,0.06841638180383908,0.006031422561135946,0.0027116749934262426,0.06319024454378122,0.027281093873257955,0.5665099921114909
NT1,0.5334578663345787,0.545101701951017,0.4676214196762142,0.9288086342880864,0.2129099211290992,0.4876712328767123,0.01986301369863014,0.9966168534661686,0.9982980489829805,0.7374636778746367,0.1636986301369863,0.04800747198007472,0.784329597343296,0.2191365711913657,0.05674553756745537,0.022768783727687838,0.06170610211706102,0.07094229970942299,0.5531548360315484
NT2,0.3701008236296507,0.4712972166998012,0.4286601817665436,0.6037169838114173,0.14749005964214712,0.4552683896620278,0.021389520022720817,0.9989704629366657,0.9993609769951718,0.18810352172678216,0.05351817665435956,0.020608491905708605,0.9911069298494746,0.1731397330303891,0.12636679920477137,0.05863036069298495,0.07327463788696394,0.04751846066458393,0.16996236864527123
NT3,0.20622568093385213,0.3004109240336012,0.2366267864285974,0.793101567329721,0.5667478817411542,0.2897014436888614,0.007400269100694571,1.0,1.0,0.13805956580239281,0.04403796501690971,0.0530928397396269,0.7151714607803921,0.06298410851303683,0.0012909560347649006,0.30593839775991855,0.028928324666351504,0.06496599876359141,0.5010000363649587
NT4,0.31730890118179533,0.32263640935378424,0.34847246668342974,0.5965080462660297,0.20535265275333164,0.27019424189087254,0.026778979129997486,0.9980984410359568,0.9987113402061856,0.1988779230575811,0.18449836560221272,0.16557706814181544,0.5669788785516721,0.13193047523258739,0.01208511440784511,0.47469826502388734,0.0973881066130249,0.026841840583354287,0.4341369122454111
NT5,0.20497967479674797,0.4601456639566396,0.5584857723577236,0.9834010840108401,0.3571646341463415,0.5167852303523035,0.0679031165311653,0.9999661246612466,0.9999830623306233,0.14256436314363144,0.1902269647696477,0.018106368563685638,0.9790481029810298,0.09674796747967479,0.057706639566395664,0.23865176151761516,0.028658536585365855,0.08797425474254743,0.6993224932249322
NT6,0.36390043753744483,0.436212123962891,0.3871026306711933,0.6463934932190774,0.6494798569379641,0.404222871770665,0.010221310433724878,0.9982389571721646,0.9987654545124454,0.23839436466295091,0.017047620776674353,0.1489261269766344,0.7913799676839564,0.2162451662097638,0.6700132532089105,0.013144278426317605,0.07541620522503223,0.06078321018136926,0.5965214865380076
